,datetime,time_to_next_eruption,time_since_last_eruption,Wind Speed,RH,Temp,Wind Cumsum
246,1992-04-12 16:05:00+00:00,6240.0,6240.0,9.0,37.0,49.0,9.0
247,1992-04-12 17:49:00+00:00,5940.0,6240.0,3.0,53.0,43.0,9.0
248,1992-04-12 19:28:00+00:00,12000.0,5940.0,6.0,43.0,45.0,82.0
249,1992-04-13 19:11:00+00:00,6120.0,12360.0,0.0,37.0,49.0,36.0
250,1992-04-14 18:51:00+00:00,5700.0,11520.0,1.0,55.0,42.0,41.0
251,1992-04-16 16:17:00+00:00,5820.0,6240.0,3.0,57.0,42.0,3.0
252,1992-04-16 17:54:00+00:00,5820.0,5820.0,0.0,82.0,33.0,5.0
253,1992-04-16 19:31:00+00:00,6060.0,5820.0,0.0,85.0,33.0,1.0
254,1992-04-16 21:12:00+00:00,5880.0,6060.0,2.0,85.0,32.0,2.0
255,1992-04-16 22:50:00+00:00,6360.0,5880.0,0.0,71.0,29.0,176.0
256,1992-04-18 20:01:00+00:00,5880.0,6000.0,1.0,71.0,29.0,1.0
257,1992-04-18 21:39:00+00:00,5760.0,5880.0,3.0,37.0,46.0,131.0
258,1992-04-20 17:05:00+00:00,11400.0,5880.0,2.0,50.0,38.0,10.0
259,1992-04-20 20:15:00+00:00,5760.0,11400.0,6.0,42.0,47.0,35.0
260,1992-04-21 15:58:00+00:00,5880.0,5880.0,9.0,55.0,42.0,18.0
261,1992-04-21 17:36:00+00:00,6180.0,5880.0,0.0,78.0,35.0,1.0
262,1992-04-21 19:19:00+00:00,6060.0,6180.0,0.0,85.0,33.0,0.0
263,1992-04-21 21:00:00+00:00,5940.0,6060.0,8.0,79.0,34.0,43.0
264,1992-04-22 16:00:00+00:00,6060.0,6120.0,8.0,78.0,33.0,9.0
265,1992-04-22 17:41:00+00:00,6300.0,6060.0,2.0,81.0,29.0,13.0
266,1992-04-22 19:26:00+00:00,6060.0,6300.0,9.0,78.0,29.0,14.0
267,1992-04-22 21:07:00+00:00,12360.0,6060.0,8.0,40.0,34.0,88.0
268,1992-04-23 15:05:00+00:00,6300.0,6540.0,6.0,31.0,33.0,6.0
269,1992-04-23 16:50:00+00:00,6420.0,6300.0,9.0,35.0,30.0,15.0
270,1992-04-23 18:37:00+00:00,6960.0,6420.0,2.0,35.0,38.0,26.0
271,1992-04-24 15:44:00+00:00,5460.0,6300.0,2.0,40.0,37.0,4.0
272,1992-04-24 17:15:00+00:00,5880.0,5460.0,1.0,45.0,35.0,1.0
273,1992-04-24 18:53:00+00:00,5700.0,5880.0,2.0,53.0,29.0,3.0
274,1992-04-24 20:28:00+00:00,11520.0,5700.0,0.0,61.0,24.0,3.0
