,datetime,duration_seconds,time_to_next_eruption,time_since_last_eruption
129,2014-05-09 14:00:00+00:00,253,5760.0,5400.0
130,2014-05-09 15:36:00+00:00,227,5880.0,5760.0
133,2014-05-10 10:48:00+00:00,235,5940.0,5580.0
134,2014-05-10 12:27:00+00:00,243,6000.0,5940.0
135,2014-05-10 14:07:00+00:00,234,5700.0,6000.0
136,2014-05-10 15:42:00+00:00,243,5400.0,5700.0
139,2014-05-11 14:29:00+00:00,118,3840.0,5580.0
140,2014-05-11 15:33:00+00:00,275,6120.0,3840.0
143,2014-05-12 12:57:00+00:00,132,3960.0,6180.0
144,2014-05-12 14:03:00+00:00,255,5820.0,3960.0
145,2014-05-12 15:40:00+00:00,122,3960.0,5820.0
146,2014-05-12 16:46:00+00:00,258,6000.0,3960.0
149,2014-05-13 11:30:00+00:00,232,5100.0,6180.0
150,2014-05-13 12:55:00+00:00,226,5940.0,5100.0
151,2014-05-13 14:34:00+00:00,228,5700.0,5940.0
152,2014-05-13 16:09:00+00:00,240,5760.0,5700.0
155,2014-05-14 12:15:00+00:00,230,5160.0,6060.0
156,2014-05-14 13:41:00+00:00,246,5160.0,5160.0
157,2014-05-14 15:07:00+00:00,250,5700.0,5160.0
160,2014-05-15 11:00:00+00:00,245,5700.0,5280.0
161,2014-05-15 12:35:00+00:00,242,5580.0,5700.0
162,2014-05-15 14:08:00+00:00,243,5580.0,5580.0
163,2014-05-15 15:41:00+00:00,238,6300.0,5580.0
166,2014-05-16 10:15:00+00:00,268,5520.0,3720.0
167,2014-05-16 11:47:00+00:00,107,4380.0,5520.0
168,2014-05-16 13:00:00+00:00,256,6360.0,4380.0
169,2014-05-16 14:46:00+00:00,224,5100.0,6360.0
170,2014-05-16 16:11:00+00:00,249,6060.0,5100.0
173,2014-05-17 10:50:00+00:00,249,5640.0,5520.0
174,2014-05-17 12:24:00+00:00,244,5820.0,5640.0
175,2014-05-17 14:01:00+00:00,251,3000.0,5820.0
179,2014-05-18 10:37:00+00:00,251,5700.0,5700.0
180,2014-05-18 12:12:00+00:00,241,5820.0,5700.0
181,2014-05-18 13:49:00+00:00,252,5520.0,5820.0
182,2014-05-18 15:21:00+00:00,250,5280.0,5520.0
185,2014-05-19 11:23:00+00:00,250,5820.0,5400.0
186,2014-05-19 13:00:00+00:00,240,5580.0,5820.0
187,2014-05-19 14:33:00+00:00,255,5520.0,5580.0
188,2014-05-19 16:05:00+00:00,239,5520.0,5520.0
191,2014-05-20 11:18:00+00:00,254,5340.0,5880.0
192,2014-05-20 12:47:00+00:00,241,5760.0,5340.0
193,2014-05-20 14:23:00+00:00,245,5040.0,5760.0
194,2014-05-20 15:47:00+00:00,249,6120.0,5040.0
197,2014-05-21 10:29:00+00:00,233,5700.0,5700.0
198,2014-05-21 12:04:00+00:00,254,5340.0,5700.0
199,2014-05-21 13:33:00+00:00,265,6360.0,5340.0
200,2014-05-21 15:19:00+00:00,225,5520.0,6360.0
203,2014-05-22 11:42:00+00:00,242,6120.0,5640.0
204,2014-05-22 13:24:00+00:00,228,5460.0,6120.0
205,2014-05-22 14:55:00+00:00,124,3660.0,5460.0
206,2014-05-22 15:56:00+00:00,251,6180.0,3660.0
209,2014-05-23 11:57:00+00:00,268,5760.0,6000.0
210,2014-05-23 13:33:00+00:00,246,5100.0,5760.0
211,2014-05-23 14:58:00+00:00,249,5760.0,5100.0
214,2014-05-24 09:44:00+00:00,240,5640.0,4680.0
215,2014-05-24 11:18:00+00:00,257,5280.0,5640.0
216,2014-05-24 12:46:00+00:00,249,5820.0,5280.0
217,2014-05-24 14:23:00+00:00,123,3840.0,5820.0
218,2014-05-24 15:27:00+00:00,263,6420.0,3840.0
219,2014-05-24 17:14:00+00:00,225,6180.0,6420.0
222,2014-05-25 09:56:00+00:00,225,5340.0,5460.0
223,2014-05-25 11:25:00+00:00,238,5940.0,5340.0
224,2014-05-25 13:04:00+00:00,226,5340.0,5940.0
225,2014-05-25 14:33:00+00:00,252,5880.0,5340.0
226,2014-05-25 16:11:00+00:00,251,6180.0,5880.0
227,2014-05-25 17:54:00+00:00,246,5040.0,6180.0
230,2014-05-26 10:39:00+00:00,233,5760.0,5100.0
231,2014-05-26 12:15:00+00:00,209,5280.0,5760.0
232,2014-05-26 13:43:00+00:00,252,5340.0,5280.0
233,2014-05-26 15:12:00+00:00,252,5880.0,5340.0
234,2014-05-26 16:50:00+00:00,238,6060.0,5880.0
235,2014-05-26 18:31:00+00:00,247,5760.0,6060.0
238,2014-05-27 10:10:00+00:00,134,4140.0,5640.0
239,2014-05-27 11:19:00+00:00,285,5940.0,4140.0
240,2014-05-27 12:58:00+00:00,244,5460.0,5940.0
241,2014-05-27 14:29:00+00:00,245,6120.0,5460.0
242,2014-05-27 16:11:00+00:00,198,5520.0,6120.0
243,2014-05-27 17:43:00+00:00,263,6540.0,5520.0
246,2014-05-28 10:16:00+00:00,265,5760.0,6000.0
247,2014-05-28 11:52:00+00:00,236,6420.0,5760.0
248,2014-05-28 13:39:00+00:00,246,5460.0,6420.0
249,2014-05-28 15:10:00+00:00,260,5760.0,5460.0
250,2014-05-28 16:46:00+00:00,241,5820.0,5760.0
251,2014-05-28 18:23:00+00:00,250,5460.0,5820.0
254,2014-05-29 11:35:00+00:00,245,5640.0,5460.0
255,2014-05-29 13:09:00+00:00,255,5220.0,5640.0
256,2014-05-29 14:36:00+00:00,244,5940.0,5220.0
257,2014-05-29 16:15:00+00:00,124,3480.0,5940.0
258,2014-05-29 17:13:00+00:00,276,6060.0,3480.0
259,2014-05-29 18:54:00+00:00,115,4260.0,6060.0
262,2014-05-30 10:19:00+00:00,221,5700.0,6540.0
263,2014-05-30 11:54:00+00:00,255,6000.0,5700.0
264,2014-05-30 13:34:00+00:00,249,5160.0,6000.0
269,2014-05-31 10:41:00+00:00,220,5760.0,5820.0
270,2014-05-31 12:17:00+00:00,238,5640.0,5760.0
271,2014-05-31 13:51:00+00:00,236,6120.0,5640.0
272,2014-05-31 15:33:00+00:00,220,5460.0,6120.0
273,2014-05-31 17:04:00+00:00,239,5760.0,5460.0
274,2014-05-31 18:40:00+00:00,248,5460.0,5760.0
277,2014-06-01 09:59:00+00:00,225,5520.0,5220.0
278,2014-06-01 11:31:00+00:00,243,5460.0,5520.0
279,2014-06-01 13:02:00+00:00,231,5280.0,5460.0
280,2014-06-01 14:30:00+00:00,208,5640.0,5280.0
281,2014-06-01 16:04:00+00:00,99,4620.0,5640.0
282,2014-06-01 17:21:00+00:00,272,5760.0,4620.0
285,2014-06-02 09:02:00+00:00,265,5880.0,5040.0
286,2014-06-02 10:40:00+00:00,239,5760.0,5880.0
287,2014-06-02 12:16:00+00:00,122,3900.0,5760.0
288,2014-06-02 13:21:00+00:00,239,6360.0,3900.0
289,2014-06-02 15:07:00+00:00,230,6240.0,6360.0
290,2014-06-02 16:51:00+00:00,251,5100.0,6240.0
291,2014-06-02 18:16:00+00:00,245,5700.0,5100.0
294,2014-06-03 09:45:00+00:00,236,5400.0,5880.0
295,2014-06-03 11:15:00+00:00,225,5940.0,5400.0
296,2014-06-03 12:54:00+00:00,237,6420.0,5940.0
297,2014-06-03 14:41:00+00:00,241,5160.0,6420.0
298,2014-06-03 16:07:00+00:00,241,6240.0,5160.0
299,2014-06-03 17:51:00+00:00,244,5520.0,6240.0
302,2014-06-04 09:22:00+00:00,218,5460.0,6180.0
303,2014-06-04 10:53:00+00:00,217,5700.0,5460.0
304,2014-06-04 12:28:00+00:00,250,6540.0,5700.0
305,2014-06-04 14:17:00+00:00,223,5340.0,6540.0
306,2014-06-04 15:46:00+00:00,242,5760.0,5340.0
307,2014-06-04 17:22:00+00:00,105,4020.0,5760.0
308,2014-06-04 18:29:00+00:00,248,6120.0,4020.0
311,2014-06-05 10:08:00+00:00,261,5700.0,5640.0
312,2014-06-05 11:43:00+00:00,237,5580.0,5700.0
313,2014-06-05 13:16:00+00:00,244,5760.0,5580.0
314,2014-06-05 14:52:00+00:00,228,5760.0,5760.0
315,2014-06-05 16:28:00+00:00,120,4200.0,5760.0
316,2014-06-05 17:38:00+00:00,258,5700.0,4200.0
317,2014-06-05 19:13:00+00:00,149,4200.0,5700.0
320,2014-06-06 10:24:00+00:00,211,5700.0,3120.0
321,2014-06-06 11:59:00+00:00,149,4620.0,5700.0
322,2014-06-06 13:16:00+00:00,285,5520.0,4620.0
323,2014-06-06 14:48:00+00:00,227,5820.0,5520.0
324,2014-06-06 16:25:00+00:00,124,3720.0,5820.0
325,2014-06-06 17:27:00+00:00,260,6900.0,3720.0
328,2014-06-07 09:09:00+00:00,106,3780.0,5580.0
329,2014-06-07 10:12:00+00:00,260,6780.0,3780.0
330,2014-06-07 12:05:00+00:00,213,5280.0,6780.0
331,2014-06-07 13:33:00+00:00,207,5820.0,5280.0
332,2014-06-07 15:10:00+00:00,260,5700.0,5820.0
333,2014-06-07 16:45:00+00:00,237,5580.0,5700.0
334,2014-06-07 18:18:00+00:00,232,5220.0,5580.0
337,2014-06-08 09:24:00+00:00,100,4020.0,5820.0
338,2014-06-08 10:31:00+00:00,245,6300.0,4020.0
339,2014-06-08 12:16:00+00:00,235,5100.0,6300.0
340,2014-06-08 13:41:00+00:00,108,4080.0,5100.0
341,2014-06-08 14:49:00+00:00,272,6120.0,4080.0
342,2014-06-08 16:31:00+00:00,108,3660.0,6120.0
343,2014-06-08 17:32:00+00:00,282,6060.0,3660.0
346,2014-06-09 10:43:00+00:00,258,6600.0,5700.0
347,2014-06-09 12:33:00+00:00,238,5400.0,6600.0
348,2014-06-09 14:03:00+00:00,248,5700.0,5400.0
349,2014-06-09 15:38:00+00:00,238,5760.0,5700.0
350,2014-06-09 17:14:00+00:00,247,5760.0,5760.0
351,2014-06-09 18:50:00+00:00,127,4680.0,5760.0
354,2014-06-10 09:49:00+00:00,237,5820.0,5880.0
355,2014-06-10 11:26:00+00:00,130,3780.0,5820.0
356,2014-06-10 12:29:00+00:00,252,5820.0,3780.0
357,2014-06-10 14:06:00+00:00,255,5520.0,5820.0
358,2014-06-10 15:38:00+00:00,239,5640.0,5520.0
359,2014-06-10 17:12:00+00:00,214,5760.0,5640.0
362,2014-06-11 08:38:00+00:00,237,5220.0,5640.0
363,2014-06-11 10:05:00+00:00,193,5040.0,5220.0
364,2014-06-11 11:29:00+00:00,239,6960.0,5040.0
365,2014-06-11 13:25:00+00:00,255,5280.0,6960.0
366,2014-06-11 14:53:00+00:00,136,3960.0,5280.0
367,2014-06-11 15:59:00+00:00,237,6600.0,3960.0
368,2014-06-11 17:49:00+00:00,221,5400.0,6600.0
371,2014-06-12 09:55:00+00:00,104,3600.0,5400.0
372,2014-06-12 10:55:00+00:00,267,6240.0,3600.0
373,2014-06-12 12:39:00+00:00,240,5520.0,6240.0
374,2014-06-12 14:11:00+00:00,129,4080.0,5520.0
375,2014-06-12 15:19:00+00:00,257,6000.0,4080.0
376,2014-06-12 16:59:00+00:00,139,4020.0,6000.0
377,2014-06-12 18:06:00+00:00,274,6240.0,4020.0
380,2014-06-13 08:49:00+00:00,269,6180.0,5640.0
381,2014-06-13 10:32:00+00:00,255,6060.0,6180.0
382,2014-06-13 12:13:00+00:00,95,4500.0,6060.0
383,2014-06-13 13:28:00+00:00,251,6480.0,4500.0
384,2014-06-13 15:16:00+00:00,249,5160.0,6480.0
385,2014-06-13 16:42:00+00:00,246,5640.0,5160.0
386,2014-06-13 18:16:00+00:00,110,4200.0,5640.0
389,2014-06-14 09:40:00+00:00,255,6120.0,5400.0
390,2014-06-14 11:22:00+00:00,243,5400.0,6120.0
391,2014-06-14 12:52:00+00:00,255,5580.0,5400.0
392,2014-06-14 14:25:00+00:00,248,5640.0,5580.0
393,2014-06-14 15:59:00+00:00,254,6000.0,5640.0
394,2014-06-14 17:39:00+00:00,240,5940.0,6000.0
397,2014-06-15 09:50:00+00:00,110,4620.0,5700.0
398,2014-06-15 11:07:00+00:00,241,6360.0,4620.0
399,2014-06-15 12:53:00+00:00,249,5580.0,6360.0
400,2014-06-15 14:26:00+00:00,216,5820.0,5580.0
401,2014-06-15 16:03:00+00:00,246,5280.0,5820.0
402,2014-06-15 17:31:00+00:00,245,5940.0,5280.0
405,2014-06-16 09:34:00+00:00,257,5520.0,5640.0
406,2014-06-16 11:06:00+00:00,160,3660.0,5520.0
407,2014-06-16 12:07:00+00:00,286,6180.0,3660.0
408,2014-06-16 13:50:00+00:00,236,4920.0,6180.0
409,2014-06-16 15:12:00+00:00,229,5580.0,4920.0
410,2014-06-16 16:45:00+00:00,159,4140.0,5580.0
411,2014-06-16 17:54:00+00:00,253,5700.0,4140.0
414,2014-06-17 09:11:00+00:00,215,6180.0,6060.0
415,2014-06-17 10:54:00+00:00,260,5700.0,6180.0
416,2014-06-17 12:29:00+00:00,233,5160.0,5700.0
417,2014-06-17 13:55:00+00:00,254,5460.0,5160.0
418,2014-06-17 15:26:00+00:00,233,6180.0,5460.0
419,2014-06-17 17:09:00+00:00,236,5220.0,6180.0
420,2014-06-17 18:36:00+00:00,129,4140.0,5220.0
423,2014-06-18 09:39:00+00:00,212,6000.0,5280.0
424,2014-06-18 11:19:00+00:00,231,5160.0,6000.0
425,2014-06-18 12:45:00+00:00,230,6000.0,5160.0
426,2014-06-18 14:25:00+00:00,214,5340.0,6000.0
427,2014-06-18 15:54:00+00:00,247,5580.0,5340.0
428,2014-06-18 17:27:00+00:00,117,4980.0,5580.0
431,2014-06-19 10:03:00+00:00,107,3660.0,6000.0
432,2014-06-19 11:04:00+00:00,241,5700.0,3660.0
433,2014-06-19 12:39:00+00:00,100,4620.0,5700.0
434,2014-06-19 13:56:00+00:00,254,6300.0,4620.0
435,2014-06-19 15:41:00+00:00,74,3540.0,6300.0
436,2014-06-19 16:40:00+00:00,251,6540.0,3540.0
437,2014-06-19 18:29:00+00:00,227,5580.0,6540.0
440,2014-06-20 08:07:00+00:00,248,5640.0,5700.0
441,2014-06-20 09:41:00+00:00,118,4380.0,5640.0
442,2014-06-20 10:54:00+00:00,252,6180.0,4380.0
443,2014-06-20 12:37:00+00:00,241,5640.0,6180.0
444,2014-06-20 14:11:00+00:00,259,6060.0,5640.0
445,2014-06-20 15:52:00+00:00,263,5760.0,6060.0
446,2014-06-20 17:28:00+00:00,224,5760.0,5760.0
449,2014-06-21 08:28:00+00:00,254,6360.0,3540.0
450,2014-06-21 10:14:00+00:00,109,3600.0,6360.0
451,2014-06-21 11:14:00+00:00,276,6540.0,3600.0
452,2014-06-21 13:03:00+00:00,218,5400.0,6540.0
453,2014-06-21 14:33:00+00:00,244,2580.0,5400.0
458,2014-06-22 10:13:00+00:00,265,6000.0,4560.0
459,2014-06-22 11:53:00+00:00,241,5640.0,6000.0
460,2014-06-22 13:27:00+00:00,279,5820.0,5640.0
461,2014-06-22 15:04:00+00:00,269,5520.0,5820.0
462,2014-06-22 16:36:00+00:00,140,4740.0,5520.0
463,2014-06-22 17:55:00+00:00,255,5820.0,4740.0
466,2014-06-23 10:56:00+00:00,181,5160.0,6060.0
467,2014-06-23 12:22:00+00:00,224,6000.0,5160.0
468,2014-06-23 14:02:00+00:00,205,5220.0,6000.0
469,2014-06-23 15:29:00+00:00,245,6780.0,5220.0
470,2014-06-23 17:22:00+00:00,227,5520.0,6780.0
471,2014-06-23 18:54:00+00:00,112,3420.0,5520.0
474,2014-06-24 09:47:00+00:00,200,5460.0,5160.0
475,2014-06-24 11:18:00+00:00,239,6240.0,5460.0
476,2014-06-24 13:02:00+00:00,217,5280.0,6240.0
477,2014-06-24 14:30:00+00:00,240,6180.0,5280.0
478,2014-06-24 16:13:00+00:00,238,4920.0,6180.0
479,2014-06-24 17:35:00+00:00,210,5940.0,4920.0
482,2014-06-25 09:01:00+00:00,240,5520.0,5280.0
483,2014-06-25 10:33:00+00:00,241,5580.0,5520.0
484,2014-06-25 12:06:00+00:00,240,5580.0,5580.0
485,2014-06-25 13:39:00+00:00,225,5400.0,5580.0
486,2014-06-25 15:09:00+00:00,242,5340.0,5400.0
487,2014-06-25 16:38:00+00:00,232,2400.0,5340.0
491,2014-06-26 09:53:00+00:00,253,6180.0,5280.0
492,2014-06-26 11:36:00+00:00,224,5580.0,6180.0
493,2014-06-26 13:09:00+00:00,232,5640.0,5580.0
494,2014-06-26 14:43:00+00:00,248,6180.0,5640.0
495,2014-06-26 16:26:00+00:00,245,5880.0,6180.0
496,2014-06-26 18:04:00+00:00,236,5220.0,5880.0
499,2014-06-27 09:18:00+00:00,274,6240.0,3900.0
500,2014-06-27 11:02:00+00:00,200,5280.0,6240.0
501,2014-06-27 12:30:00+00:00,244,6480.0,5280.0
502,2014-06-27 14:18:00+00:00,251,5640.0,6480.0
503,2014-06-27 15:52:00+00:00,216,5640.0,5640.0
504,2014-06-27 17:26:00+00:00,251,5340.0,5640.0
507,2014-06-28 09:50:00+00:00,245,5820.0,6360.0
508,2014-06-28 11:27:00+00:00,155,3960.0,5820.0
509,2014-06-28 12:33:00+00:00,279,5940.0,3960.0
510,2014-06-28 14:12:00+00:00,246,5640.0,5940.0
511,2014-06-28 15:46:00+00:00,210,5640.0,5640.0
512,2014-06-28 17:20:00+00:00,251,5520.0,5640.0
513,2014-06-28 18:52:00+00:00,127,4140.0,5520.0
516,2014-06-29 11:09:00+00:00,241,5460.0,6000.0
517,2014-06-29 12:40:00+00:00,233,5220.0,5460.0
518,2014-06-29 14:07:00+00:00,253,5580.0,5220.0
519,2014-06-29 15:40:00+00:00,238,6120.0,5580.0
520,2014-06-29 17:22:00+00:00,249,5100.0,6120.0
523,2014-06-30 09:38:00+00:00,113,4620.0,6000.0
524,2014-06-30 10:55:00+00:00,239,5280.0,4620.0
525,2014-06-30 12:23:00+00:00,225,5880.0,5280.0
526,2014-06-30 14:01:00+00:00,258,6120.0,5880.0
527,2014-06-30 15:43:00+00:00,257,5700.0,6120.0
528,2014-06-30 17:18:00+00:00,116,3900.0,5700.0
529,2014-06-30 18:23:00+00:00,261,6180.0,3900.0
532,2014-07-01 10:19:00+00:00,217,6660.0,5460.0
533,2014-07-01 12:10:00+00:00,260,6300.0,6660.0
534,2014-07-01 13:55:00+00:00,245,5820.0,6300.0
535,2014-07-01 15:32:00+00:00,239,4560.0,5820.0
536,2014-07-01 16:48:00+00:00,253,5040.0,4560.0
537,2014-07-01 18:12:00+00:00,125,6300.0,5040.0
540,2014-07-02 09:42:00+00:00,260,5640.0,5340.0
541,2014-07-02 11:16:00+00:00,222,5700.0,5640.0
542,2014-07-02 12:51:00+00:00,215,5460.0,5700.0
543,2014-07-02 14:22:00+00:00,265,5400.0,5460.0
544,2014-07-02 15:52:00+00:00,147,4440.0,5400.0
545,2014-07-02 17:06:00+00:00,249,6060.0,4440.0
546,2014-07-02 18:47:00+00:00,235,5280.0,6060.0
549,2014-07-03 09:46:00+00:00,245,5280.0,7140.0
550,2014-07-03 11:14:00+00:00,235,5880.0,5280.0
551,2014-07-03 12:52:00+00:00,207,5460.0,5880.0
552,2014-07-03 14:23:00+00:00,228,5700.0,5460.0
553,2014-07-03 15:58:00+00:00,102,4020.0,5700.0
554,2014-07-03 17:05:00+00:00,266,5460.0,4020.0
555,2014-07-03 18:36:00+00:00,245,5820.0,5460.0
558,2014-07-04 09:09:00+00:00,257,6960.0,3780.0
559,2014-07-04 11:05:00+00:00,228,5340.0,6960.0
560,2014-07-04 12:34:00+00:00,119,3540.0,5340.0
561,2014-07-04 13:33:00+00:00,262,5580.0,3540.0
562,2014-07-04 15:06:00+00:00,234,5460.0,5580.0
563,2014-07-04 16:37:00+00:00,238,5880.0,5460.0
564,2014-07-04 18:15:00+00:00,122,3720.0,5880.0
567,2014-07-05 09:25:00+00:00,204,5520.0,5220.0
568,2014-07-05 10:57:00+00:00,228,6060.0,5520.0
569,2014-07-05 12:38:00+00:00,227,5640.0,6060.0
570,2014-07-05 14:12:00+00:00,247,5580.0,5640.0
571,2014-07-05 15:45:00+00:00,230,5640.0,5580.0
572,2014-07-05 17:19:00+00:00,251,5700.0,5640.0
575,2014-07-06 08:44:00+00:00,232,5220.0,5880.0
576,2014-07-06 10:11:00+00:00,218,6060.0,5220.0
577,2014-07-06 11:52:00+00:00,117,3780.0,6060.0
578,2014-07-06 12:55:00+00:00,269,6120.0,3780.0
579,2014-07-06 14:37:00+00:00,258,5820.0,6120.0
580,2014-07-06 16:14:00+00:00,255,6060.0,5820.0
581,2014-07-06 17:55:00+00:00,235,5340.0,6060.0
584,2014-07-07 09:20:00+00:00,209,6060.0,6540.0
585,2014-07-07 11:01:00+00:00,256,5400.0,6060.0
586,2014-07-07 12:31:00+00:00,115,4380.0,5400.0
587,2014-07-07 13:44:00+00:00,248,5880.0,4380.0
588,2014-07-07 15:22:00+00:00,255,5580.0,5880.0
589,2014-07-07 16:55:00+00:00,119,4620.0,5580.0
590,2014-07-07 18:12:00+00:00,257,6180.0,4620.0
593,2014-07-08 09:18:00+00:00,228,5220.0,6120.0
594,2014-07-08 10:45:00+00:00,259,5820.0,5220.0
595,2014-07-08 12:22:00+00:00,231,5400.0,5820.0
596,2014-07-08 13:52:00+00:00,251,5460.0,5400.0
597,2014-07-08 15:23:00+00:00,121,3960.0,5460.0
598,2014-07-08 16:29:00+00:00,261,6240.0,3960.0
599,2014-07-08 18:13:00+00:00,231,5520.0,6240.0
602,2014-07-09 09:41:00+00:00,110,4020.0,5280.0
603,2014-07-09 10:48:00+00:00,279,6000.0,4020.0
604,2014-07-09 12:28:00+00:00,231,5520.0,6000.0
605,2014-07-09 14:00:00+00:00,235,5460.0,5520.0
606,2014-07-09 15:31:00+00:00,214,5880.0,5460.0
607,2014-07-09 17:09:00+00:00,252,5640.0,5880.0
608,2014-07-09 18:43:00+00:00,224,6240.0,5640.0
611,2014-07-10 10:08:00+00:00,231,5100.0,5820.0
612,2014-07-10 11:33:00+00:00,210,6060.0,5100.0
613,2014-07-10 13:14:00+00:00,237,5820.0,6060.0
614,2014-07-10 14:51:00+00:00,217,5460.0,5820.0
615,2014-07-10 16:22:00+00:00,276,5460.0,5460.0
616,2014-07-10 17:53:00+00:00,210,5460.0,5460.0
619,2014-07-11 09:08:00+00:00,119,3900.0,5820.0
620,2014-07-11 10:13:00+00:00,268,5700.0,3900.0
621,2014-07-11 11:48:00+00:00,119,4140.0,5700.0
622,2014-07-11 12:57:00+00:00,255,6060.0,4140.0
