datetime,duration_seconds,height,interpolated_height,time_to_next_eruption,time_since_last_eruption
2014-06-06 11:59:00+00:00,149,130.0,0.0,4620.0,5700.0
2014-06-06 13:16:00+00:00,285,130.0,0.0,5520.0,4620.0
2014-06-06 14:48:00+00:00,227,100.0,0.0,5820.0,5520.0
2014-06-06 16:25:00+00:00,124,140.0,0.0,3720.0,5820.0
2014-06-06 17:27:00+00:00,260,130.0,0.0,6900.0,3720.0
2014-06-07 09:09:00+00:00,106,130.0,0.0,3780.0,5580.0
2014-06-07 10:12:00+00:00,260,160.0,0.0,6780.0,3780.0
2014-06-07 12:05:00+00:00,213,140.0,0.0,5280.0,6780.0
2014-06-07 13:33:00+00:00,207,140.0,0.0,5820.0,5280.0
2014-06-07 15:10:00+00:00,260,150.0,0.0,5700.0,5820.0
2014-06-07 16:45:00+00:00,237,130.0,0.0,5580.0,5700.0
2014-06-07 18:18:00+00:00,232,130.0,0.0,5220.0,5580.0
2014-06-08 09:24:00+00:00,100,135.0,0.0,4020.0,5820.0
2014-06-08 10:31:00+00:00,245,137.0,1.0,6300.0,4020.0
2014-06-08 12:16:00+00:00,235,150.0,0.0,5100.0,6300.0
2014-06-08 13:41:00+00:00,108,130.0,0.0,4080.0,5100.0
2014-06-08 14:49:00+00:00,272,140.0,0.0,6120.0,4080.0
2014-06-08 16:31:00+00:00,108,140.0,0.0,3660.0,6120.0
2014-06-08 17:32:00+00:00,282,130.0,0.0,6060.0,3660.0
2014-06-09 10:43:00+00:00,258,140.0,0.0,6600.0,5700.0
2014-06-09 12:33:00+00:00,238,135.0,0.0,5400.0,6600.0
2014-06-09 14:03:00+00:00,248,135.0,0.0,5700.0,5400.0
2014-06-09 15:38:00+00:00,238,150.0,0.0,5760.0,5700.0
2014-06-09 17:14:00+00:00,247,150.0,0.0,5760.0,5760.0
2014-06-09 18:50:00+00:00,127,140.0,0.0,4680.0,5760.0
2014-06-10 09:49:00+00:00,237,145.0,0.0,5820.0,5880.0
2014-06-10 11:26:00+00:00,130,140.0,0.0,3780.0,5820.0
2014-06-10 12:29:00+00:00,252,150.0,0.0,5820.0,3780.0
2014-06-10 14:06:00+00:00,255,125.0,0.0,5520.0,5820.0
2014-06-10 15:38:00+00:00,239,135.0,0.0,5640.0,5520.0
2014-06-10 17:12:00+00:00,214,135.0,0.0,5760.0,5640.0
2014-06-11 08:38:00+00:00,237,140.0,0.0,5220.0,5640.0
2014-06-11 10:05:00+00:00,193,137.0,1.0,5040.0,5220.0
2014-06-11 11:29:00+00:00,239,130.0,0.0,6960.0,5040.0
2014-06-11 13:25:00+00:00,255,130.0,0.0,5280.0,6960.0
2014-06-11 14:53:00+00:00,136,135.0,0.0,3960.0,5280.0
2014-06-11 15:59:00+00:00,237,130.0,0.0,6600.0,3960.0
2014-06-11 17:49:00+00:00,221,150.0,0.0,5400.0,6600.0
2014-06-12 09:55:00+00:00,104,140.0,0.0,3600.0,5400.0
2014-06-12 10:55:00+00:00,267,150.0,0.0,6240.0,3600.0
2014-06-12 12:39:00+00:00,240,150.0,0.0,5520.0,6240.0
2014-06-12 14:11:00+00:00,129,135.0,0.0,4080.0,5520.0
2014-06-12 15:19:00+00:00,257,130.0,0.0,6000.0,4080.0
2014-06-12 16:59:00+00:00,139,135.0,0.0,4020.0,6000.0
2014-06-12 18:06:00+00:00,274,140.0,0.0,6240.0,4020.0
2014-06-13 08:49:00+00:00,269,140.0,0.0,6180.0,5640.0
2014-06-13 10:32:00+00:00,255,135.0,0.0,6060.0,6180.0
2014-06-13 12:13:00+00:00,95,135.0,0.0,4500.0,6060.0
2014-06-13 13:28:00+00:00,251,135.0,0.0,6480.0,4500.0
2014-06-13 15:16:00+00:00,249,130.0,0.0,5160.0,6480.0
2014-06-13 16:42:00+00:00,246,130.0,0.0,5640.0,5160.0
2014-06-13 18:16:00+00:00,110,135.0,0.0,4200.0,5640.0
2014-06-14 09:40:00+00:00,255,130.0,0.0,6120.0,5400.0
2014-06-14 11:22:00+00:00,243,140.0,0.0,5400.0,6120.0
2014-06-14 12:52:00+00:00,255,130.0,0.0,5580.0,5400.0
2014-06-14 14:25:00+00:00,248,130.0,0.0,5640.0,5580.0
2014-06-14 15:59:00+00:00,254,130.0,0.0,6000.0,5640.0
2014-06-14 17:39:00+00:00,240,125.0,0.0,5940.0,6000.0
